,_latitude,_longitude,number_of_operators,number_of_available_trolleys,_title,_server_updated_at,_created_by,_updated_by,arrival_of_the_freight_vehicle,plates,company_if_visible,visit_purpose,type_of_vehicle,refrigerated_truck,type_of_cargo,departure_of_the_freight_vehicle,where_was_the_vehicle_parked,while_parked_was_the_engine_running,used_traffic_cone,vehicles_unloading_door,garage_blocking,accident,noise,traffic_congestion
0,19.0213764,-98.2603919,1,0,"78 Avenida Orión Sur
Tlaxcalancingo Puebla 72825
México",2022-11-27 22:14:32 UTC,Adriel Antonio Huerta Vidal,Adriel Antonio Huerta Vidal,15:35,21TFP4,Sin registro,Sales (usually small car or motorcycle),Motorcycle,no,"Meat (beef, poultry, pork, seafood, etc.)",16:15,Street - next to the curbside,no,no,Rear,no,no,no,no
1,19.0211113,-98.2605677,1,0,"581 Avenida Orión Sur
Tlaxcalancingo Puebla 72810
México",2022-11-27 22:14:31 UTC,Adriel Antonio Huerta Vidal,Adriel Antonio Huerta Vidal,15:12,19TES7,Sin registro,Sales (usually small car or motorcycle),Motorcycle,no,"Meat (beef, poultry, pork, seafood, etc.)",16:12,Street - next to the curbside,no,no,Rear,no,no,no,no
2,19.0352214575,-98.2670348883,2,0,"4483 Calle Camino Real a Cholula
San Bernardino Tlaxcalancingo PUE 72824
MX",2022-11-27 20:12:39 UTC,María Pedraza,María Pedraza,13:50,Sm49187,Sin registro,Delivery,Light truck or Van,no,"Meat (beef, poultry, pork, seafood, etc.)",14:06,Street - next to the curbside,no,no,Rear,no,no,no,yes
3,19.0817899522,-98.2985606801,2,0,"Cholula de Rivadavia PUE 72768
MX",2022-11-27 08:18:55 UTC,Saúl Cuervo,Saúl Cuervo,16:46,TXK-799-A,Sin registro,Sales & delivery,SUV,no,Nonfood,17:02,Street - next to the curbside,no,no,Rear,no,no,no,yes
4,19.0817705579,-98.2985890313,1,0,"Cholula de Rivadavia PUE 72768
MX",2022-11-27 08:18:54 UTC,Saúl Cuervo,Saúl Cuervo,12:38,SN-67-573,Sin registro,Delivery,Light truck or Van,no,"Bakery (bread, cookies, cakes, etc.)",12:47,On top of a sidewalk,no,no,Rear,no,no,no,no
5,19.0817256044,-98.298637931,1,0,"Cholula de Rivadavia PUE 72768
MX",2022-11-27 08:18:54 UTC,Saúl Cuervo,Saúl Cuervo,19:09,GMU8N,Sin registro,Sales (usually small car or motorcycle),Motorcycle,no,Nonfood,19:28,Store's garage,no,no,Rear,no,no,no,no
6,19.0817518281,-98.2985935216,2,0,"Cholula de Rivadavia PUE 72768
MX",2022-11-27 08:18:54 UTC,Saúl Cuervo,Saúl Cuervo,17:43,YR-4835-C,Sin registro,Delivery,Light truck or Van,no,"Paper Goods (paper towels, toilet paper, etc.)",17:49,Double lane,yes,no,Rear,yes,no,yes,no
7,19.0817752594,-98.2984725221,1,0,"Cholula de Rivadavia PUE 72768
MX",2022-11-27 08:18:53 UTC,Saúl Cuervo,Saúl Cuervo,17:23,GLA20,Sin registro,Sales (usually small car or motorcycle),Motorcycle,no,Nonfood,17:27,Street - next to the curbside,no,no,Rear,no,no,no,no
8,19.0818395481,-98.2985965439,1,0,"Carretera Estatal Puebla Coronango
Cholula de Rivadavia PUE 72768
MX",2022-11-27 08:18:53 UTC,Saúl Cuervo,Saúl Cuervo,15:07,LF-66-855,Sin registro,Delivery,Light truck or Van,no,Nonfood,15:21,Double lane,yes,no,Rear,no,no,no,no
9,19.0817899522,-98.2985606801,1,0,"Cholula de Rivadavia PUE 72768
MX",2022-11-27 08:18:52 UTC,Saúl Cuervo,Saúl Cuervo,13:20,SK-17-220,Sin registro,Delivery,Light truck or Van,no,Nonfood,13:30,Street - next to the curbside,no,no,Rear,no,no,no,no
10,19.0126948166,-98.2173483074,2,2,"6105 Calle Orquídeas
Heroica Puebla de Zaragoza Puebla 72580
México",2022-11-27 06:17:09 UTC,Juan Lara,Juan Lara,14:15,278FC8,Coca cola,Delivery,Heavy duty truck,yes,"Non-alcoholic beverages (water, soda, etc.)",14:21,Street - next to the curbside,yes,no,Rear,no,no,no,no
11,19.0138632214,-98.2191775739,2,2,"319 Avenida las Margaritas
Heroica Puebla de Zaragoza Puebla 72450
México",2022-11-27 06:17:09 UTC,Juan Lara,Juan Lara,13:15,278FC8,Coca Cola,Delivery,Heavy duty truck,yes,"Non-alcoholic beverages (water, soda, etc.)",13:20,Street - next to the curbside,yes,no,Rear,no,no,no,no
12,19.0111425308,-98.2191078365,2,2,"6143 Tulipanes
Heroica Puebla de Zaragoza Puebla 72580
México",2022-11-27 06:17:09 UTC,Juan Lara,Juan Lara,12:32,302FC8,Coca cola,Delivery,Heavy duty truck,yes,"Non-alcoholic beverages (water, soda, etc.)",00:40,Street - next to the curbside,yes,no,Rear,no,no,no,no
13,19.012508112,-98.2183615118,2,2,"6116 Tulipanes
Heroica Puebla de Zaragoza Puebla 72580
México",2022-11-27 06:17:08 UTC,Juan Lara,Juan Lara,00:45,278FC8,Coca-Cola,Delivery,Heavy duty truck,yes,"Non-alcoholic beverages (water, soda, etc.)",12:54,Street - next to the curbside,yes,yes,Rear,no,no,no,no
14,19.0129208272,-98.2180674747,2,1,"6106 Tulipanes
Heroica Puebla de Zaragoza Puebla 72580
México",2022-11-27 06:17:08 UTC,Juan Lara,Juan Lara,11:00,LA81107,Pepsi o,Delivery,Heavy duty truck,yes,"Non-alcoholic beverages (water, soda, etc.)",11:10,Street - next to the curbside,yes,no,Rear,no,no,no,no
15,19.0253918244,-98.2491616532,3,7,"1626 Avenida Venustiano Carranza
San Bernardino Tlaxcalancingo PUE 72836
MX",2022-11-27 03:47:57 UTC,René Emiliano Torres Ávila Y Torres,René Emiliano Torres Ávila Y Torres,09:51,Sm79777,Bimbo,Delivery,Light truck or Van,no,"Bakery (bread, cookies, cakes, etc.)",10:20,Street - next to the curbside,no,no,Rear,no,no,no,no
16,19.0128892,-98.2165692,1,1,"Heroica Puebla de Zaragoza Puebla 72580
México",2022-11-26 23:18:34 UTC,Miguel López,Miguel López,17:10,UTQ49623,Sin registro,Delivery,Heavy duty truck,no,"Meat (beef, poultry, pork, seafood, etc.)",17:17,Street - next to the curbside,no,no,Rear,no,no,no,no
17,19.0146469,-98.2208008,1,1,"506 Avenida las Margaritas
Heroica Puebla de Zaragoza Puebla 72450
México",2022-11-26 23:18:34 UTC,Miguel López,Miguel López,17:02,UR39473,Bonafont ,Delivery,Heavy duty truck,no,"Non-alcoholic beverages (water, soda, etc.)",17:17,Street - next to the curbside,no,no,Side,no,no,no,no
18,19.0156234,-98.2208476,1,1,"5954 Calle 5 B Sur
Heroica Puebla de Zaragoza Puebla 72450
México",2022-11-26 23:18:33 UTC,Miguel López,Miguel López,16:45,LE49846,Bonafont ,Delivery,Heavy duty truck,yes,"Non-alcoholic beverages (water, soda, etc.)",17:09,One corner apart,no,no,Side,no,no,no,no
